Hachijojima,33.137,139.766
Pagan,18.13,145.8
Tokachidake,43.418,142.686
Maruyama,43.453,143.036
Chirippusan [Chirip],45.338,147.92
Chikurachki,50.324,155.461
Akademia Nauk,53.98,159.45
Tanaga,51.885,-178.146
Atka,52.331,-174.139
Korovin,52.381,-174.166
Seguam,52.315,-172.51
Baker,48.777,-121.813
Colima,19.514,-103.62
Popocatepetl,19.023,-98.622
Atitlan,14.583,-91.186
Acatenango,14.501,-90.876
Fuego,14.473,-90.88
Telica,12.602,-86.845
Purace,2.32,-76.4
Sabancaya,-15.78,-71.85
Tutupaca,-17.026,-70.372
Yucamane,-17.184,-70.196
Olca-Paruma,-20.939,-68.413
San Pedro-San Pablo,-21.888,-68.391
Lascar,-23.37,-67.73
San Jose,-33.789,-69.895
Planchon-Peteroa,-35.223,-70.568
Descabezado Grande,-35.58,-70.75
Tromen,-37.144,-70.033
Mocho-Choshuenco,-39.927,-72.027
Watt  Morne,15.307,-61.305
Terceira,38.73,-27.32
La Palma,28.57,-17.83
Southern Thule,-59.442,-27.225
Besar,-4.43,103.67
Westdahl,54.518,-164.65
Unnamed,36.67,37
Harrat Ash Shamah,32.333,37.583
Lunayyir  Harrat,25.17,37.75
Khaybar  Harrat,25,39.92
Rahat  Harrat,23.08,39.78
Yar  Jabal,17.05,42.83
Arhab  Harra of,15.63,44.08
Dhamar  Harras of,14.57,44.67
Sawad  Harra Es-,13.58,46.12
Tianshan Volcanic Group,42.5,82.5
Wudalianchi,48.72,126.12
