Ambient Temperature,Ambient Humidity,Light Intensity (PAR),Phi2,vH+,Relative Chlorophyll,Thickness,Leaf Angle,Leaf Temperature Differential
38.21,46.611,972.253,0.435,0.241,46.06,0.14,32.359,-1.55
38.24,44.215,658.025,0.4370000000000001,0.17600000000000002,48.19,0.41,39.806,-3.95
37.16,46.988,1558.16,0.299,0.18,42.41,0.35,46.851000000000006,-0.69
37.37,46.368,794.2460000000002,0.459,0.205,48.91,0.18,49.599,-2.5
37.57,47.142,1646.802,0.305,0.268,47.62,0.9,77.376,-1.88
37.26,44.897,1059.079,0.381,0.197,52.56,0.3,70.766,-6.94
36.99,48.587,1052.234,0.399,0.235,49.65,0.58,62.107,-4.74
36.9,47.938,1654.241,0.312,0.236,46.83,0.29,67.359,-3.31
36.94,47.393,1612.361,0.279,0.259,46.96,0.28,65.667,-1.99
36.96,47.539,1609.704,0.349,0.28600000000000003,44.9,0.8,76.847,-5.95
36.91,49.408,1531.537,0.343,0.298,45.0,0.78,79.277,-3.1
36.86,49.492,937.771,0.396,0.225,41.06,0.51,75.05199999999998,-3.45
36.69,49.419,1466.687,0.371,0.279,45.97,0.07,73.62100000000002,-2.14
36.71,46.101000000000006,1126.655,0.35700000000000004,0.209,52.3,0.87,76.712,-4.26
36.5,43.49800000000001,1235.039,0.423,0.252,53.69,0.46,68.053,-2.65
36.46,47.152,1140.179,0.314,0.173,53.48,0.3,67.633,-2.97
36.91,50.9,1102.472,0.469,0.317,37.69,0.68,74.467,-3.68
36.9,48.005,1136.008,0.406,0.237,52.17,0.45,64.472,-1.92
36.7,47.334,983.48,0.46,0.21600000000000005,47.07,0.47,59.027,-3.25
33.19,60.228,484.741,0.528,0.125,49.37,0.12,12.951,-3.37
33.23,61.055,290.248,0.5820000000000001,0.075,50.8,1.01,65.987,-3.36
33.32,60.922,348.612,0.5489999999999999,0.07,51.43,0.72,28.439,-3.89
33.4,61.577,174.49900000000005,0.594,0.053,46.62,0.36,77.741,-3.85
33.68,59.11600000000001,467.671,0.5589999999999999,0.121,43.49,0.7,5.98,-2.9
33.77,59.449,198.607,0.596,0.07,46.77,0.55,58.761,-3.84
34.02,59.627,269.961,0.599,0.065,48.56,0.75,62.661,-2.88
34.28,59.69300000000001,1103.356,0.434,0.236,47.6,0.71,1.439,-1.95
34.99,58.505,340.846,0.563,0.086,52.01,0.24,19.336,-6.5
34.9,57.492,365.104,0.5670000000000001,0.11,53.16,0.13,13.876,-6.05
34.78,57.387,189.328,0.607,0.037000000000000005,46.96,0.21,51.557,-5.09
34.81,57.846,182.674,0.602,0.044,50.58,0.67,56.504,-5.34
34.65,57.615,273.329,0.574,0.078,50.53,0.88,47.25100000000001,-6.12
34.62,57.602,312.843,0.565,0.085,46.25,0.52,6.442,-6.23
34.57,57.082,102.543,0.65,0.059,43.91,0.22,59.489,-3.93
34.55,57.592,176.171,0.608,0.054000000000000006,44.21,0.45,44.229,-4.94
34.22,55.916,145.158,0.621,0.037000000000000005,51.15,0.23,49.348,-3.58
34.16,56.365,146.395,0.638,0.044,43.83,0.24,3.24,-4.93
34.11,56.858,134.216,0.636,0.036000000000000004,51.94,0.12,55.464,-2.97
34.13,57.283,163.732,0.635,0.047,43.71,0.19,1.138,-3.98
29.61,70.60300000000002,428.693,0.5379999999999999,0.085,47.93,0.41,46.257,-3.95
29.63,70.395,280.672,0.5820000000000001,0.07,50.01,0.66,52.875,-4.31
31.29,64.643,424.571,0.488,0.1,44.77,0.46,35.163000000000004,-5.62
31.29,65.766,645.832,0.47,0.093,47.5,0.37,32.983000000000004,-4.54
31.15,64.86399999999999,340.2519999999999,0.525,0.1,46.93,0.21,12.117,-6.78
31.11,64.375,575.8290000000002,0.505,0.112,45.94,0.45,43.08600000000001,-4.31
31.07,63.666,322.04,0.578,0.108,48.12,0.75,22.817,-5.75
30.95,62.902,486.735,0.473,0.13,47.41,0.08,45.172,-5.72
31.23,64.602,617.003,0.472,0.135,48.86,0.3,26.086,-4.94
31.33,64.956,491.263,0.471,0.108,50.56,0.64,34.754,-5.52
31.37,64.30199999999999,393.465,0.475,0.125,41.25,0.18,33.941,-5.42
31.31,58.834,426.814,0.527,0.093,51.22,0.68,49.663,-7.54
30.95,61.935,459.268,0.501,0.099,49.79,0.56,54.797,-6.11
31.14,61.895,455.643,0.503,0.095,46.13,0.41,42.32,-6.43
31.14,61.861,334.523,0.511,0.097,41.1,0.23,19.759,-6.77
31.35,65.376,331.951,0.528,0.0,52.39,0.49,34.915,-5.2
31.44,65.46600000000001,262.95,0.536,0.064,43.83,0.27,50.71100000000001,-5.87
31.52,64.906,202.797,0.524,0.062,40.3,0.59,51.303,-5.75
31.56,63.845,405.4380000000001,0.4970000000000001,0.098,45.46,0.06,58.874,-5.03
33.76,60.058,636.182,0.457,0.155,36.74,0.63,53.482,-5.41
33.65,58.07899999999999,110.135,0.552,-0.018000000000000002,43.46,3.75,34.28,-9.46
33.5,54.017,318.498,0.509,0.108,45.44,0.64,18.606,-6.98
33.4,54.471,307.883,0.518,0.133,40.33,0.54,5.852,-6.73
33.74,57.475,724.8910000000002,0.442,0.149,45.46,0.63,61.402,-6.84
33.85,56.701,490.944,0.483,0.097,43.41,0.23,61.51600000000001,-7.38
33.31,57.354,663.528,0.441,0.078,43.91,0.72,37.9,-5.32
33.19,56.298,1060.95,0.379,0.191,45.58,0.7,39.557,-4.98
33.13,55.66,802.28,0.42,0.138,50.91,0.22,43.87,-6.57
33.17,54.89,582.631,0.491,0.16699999999999998,45.25,0.13,49.887,-5.42
30.15,63.494,403.185,0.503,0.091,47.74,0.32,34.771,-4.96
33.54,56.813,1054.311,0.411,0.278,45.28,1.41,16.587,-4.07
33.66,54.399,1291.838,0.355,0.338,41.36,0.29,17.075,-1.34
34.99,57.197,990.574,0.408,0.261,46.26,1.35,39.989,-5.76
35.09,56.643,955.43,0.429,0.243,44.16,0.65,42.18600000000001,-5.22
34.96,56.344,1164.918,0.396,0.29,37.48,0.35,28.308000000000003,-5.27
35.16,57.478,1204.365,0.402,0.328,39.43,0.44,21.334,-4.79
31.3,63.915,1017.641,0.374,0.28300000000000003,43.41,0.21,11.611,-2.37
31.52,62.58600000000001,807.3330000000002,0.429,0.217,50.74,0.75,16.98,-4.09
31.98,63.39100000000001,890.32,0.392,0.206,42.61,2.34,16.745,-3.27
31.83,60.067,743.56,0.457,0.175,51.77,0.7,22.074,-3.44
33.76,53.585,780.0189999999999,0.411,0.172,54.4,0.36,48.182,-6.09
